date,strategy,spy
2020-03-25,88941.26976741289,94926.77902408893
2020-03-26,88941.26976741289,100469.52370578499
2020-03-27,88941.26976741289,97476.97650153155
2020-03-30,88941.26976741289,100642.61735474851
2020-03-31,88941.26976741289,99142.49367994288
2020-04-01,88941.26976741289,94680.58507313413
2020-04-02,88941.26976741289,96865.38958329955
2020-04-03,88941.26976741289,95465.27841005662
2020-04-06,88941.26976741289,101877.32225465875
2020-04-07,88941.26976741289,101981.18482890035
2020-04-08,88941.26976741289,105404.53154192792
2020-04-09,88941.26976741289,107008.47948179426
2020-04-13,88943.79847105435,106031.50598114857
2020-04-14,92121.05038602138,109158.69080162088
2020-04-15,90931.69407641492,106839.24229037312
2020-04-16,92402.7976975003,107354.6731645848
2020-04-17,93901.84320007783,110254.88247317943
2020-04-20,92527.86825252153,108312.44099588036
2020-04-21,88717.98377576211,105023.75105366211
2020-04-22,91267.64549634194,107354.6731645848
2020-04-23,90955.07618593946,107346.97301922699
2020-04-24,92770.15979687375,108843.26577594416
2020-04-27,93887.53889233063,110412.56306170038
2020-04-28,92378.5313195012,109904.87702689087
2020-04-29,94475.82229915599,112782.0497480469
2020-04-30,94066.06266544841,111731.9184816386
2020-05-01,91966.93303798274,108774.0155466318
2020-05-04,92532.05412583014,109074.09136050075
2020-05-05,94097.24420539403,110081.82713339679
2020-05-06,94008.06852803289,109335.61536867286
2020-05-07,94690.62701758408,110654.94524915716
2020-05-08,95600.68523781133,112485.83039172032
2020-05-11,96868.32767024127,112508.94359752069
2020-05-12,94608.90856526131,110266.46461553354
2020-05-13,92816.19335851126,108316.27191396883
2020-05-14,94197.05740328613,109612.59074646843
2020-05-15,95215.60413567748,110116.45863291646
2020-05-18,97357.7807777007,113470.56788635864
2020-05-19,96632.22518074476,112305.07490657986
2020-05-20,98573.53595708702,114212.88488435927
2020-05-21,97343.59915119594,113424.35424448484
2020-05-22,97798.69933857583,113639.80507777978
2020-05-26,97497.82907128557,115039.9162510227
2020-05-27,98857.16222637217,116751.57045294603
2020-05-28,98760.02450035296,116536.17069855897
2020-05-29,100172.69644158756,117055.43887572258
